County,Unable to Identify,Tadarida brasiliensis,Parastrellus hesperus,Not Tested,Myotis yumanensis/ lucifugus,Myotis yumanensis,Myotis evotis,Myotis californicus,Lasiurus xanthinus,Lasiurus cinereus,Lasiurus blossevillii,Lasionycteris noctivagans,Eptesicus fuscus,Corynorhinus townsendii,Antrozous pallidus
Amador,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Contra Costa,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles,0,4,14,0,0,0,0,0,0,4,0,0,0,0,0
Marin,0,4,0,0,0,1,0,3,0,0,0,0,1,1,0
Placer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plumas,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Riverside,0,4,9,0,0,4,0,0,3,0,0,0,1,0,0
Sacramento,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
San Francisco,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
San Joaquin,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0
San Luis Obispo,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1
San Mateo,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0
Santa Clara,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0
Shasta,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solano,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonoma,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Stanislaus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutter,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Yolo,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Yuba,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tehama,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Modoc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tulare,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ventura,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Madera,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0
Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Glenn,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0
Colusa,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,12,0,0,0,2,0,2,0,0,0,1,10,0,0
Monterey,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Orange,0,4,0,0,1,4,0,0,0,1,0,0,0,0,1
San Bernardino,2,5,11,0,0,2,2,0,0,3,0,0,5,0,0
San Diego,0,13,1,0,0,2,0,0,0,0,0,0,0,0,0
Santa Barbara,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lake,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
